link                                                                                                                                                                         ,size ,price       ,location                                                       ,amenities                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,building_name
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-dhokali-naka-mumbai-thane-672-sq-ft-spid-F80298633                                                          ,   2 ,    39000.0 ,"Dhokali, Thane West"                                          ,['North-East Facing']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Kalpataru paramount is the most preferred destination for renting flats in dhokali, thane. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. This property is close to metro station, close to school, close to hospital and close to market. This flat consists of 2 bathrooms & 1 balcony build in 672 sq.Ft. Carpet area."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Kalpataru Paramount
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-matunga-east-mumbai-south-750-sq-ft-r3-spid-V75028891                                                       ,   2 ,    90000.0 ,"Matunga East, Mumbai"                                         ,"['Gated Society', 'Vitrified Flooring']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"This 2 bhk flat in matunga east is available in chs ltd for rent, one of the most prominent projects for residential flats in mumbai south. This flat consists of 2 bathrooms build in 750 sq.Ft. Carpet area. This property is constructed on 750 sq.Ft. Extra space for study room. You also get 1 covered parking inside the premises located on 3rd of 8 floor. This is a ready to move property."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,CHS LTD
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-diamond-garden-chembur-east-central-mumbai-1500-sq-ft-spid-S79312811                                        ,   3 ,   110000.0 ,"Chembur East, Mumbai"                                         ,"['3 Baths', 'East Facing']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Find this 3 bhk apartment for rent near diamond garden off central avenue road chembur east, central mumbai. This 3 bhk apartment in diamond garden is situated in central mumbai. Property has attached 3 bathrooms & 1 balcony with 3 rooms set in 1100 sq.Ft. Carpet area. This flat is constructed on 1500 sq.Ft. Area. This flat lies on the 6th floor of a 16 storey building. Well maintained 0-1 year."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Diamond Garden
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-diamond-garden-chembur-east-central-mumbai-1850-sq-ft-spid-N79312909                                        ,   3 ,   114999.0 ,"Chembur East, Mumbai"                                         ,"['3 Baths', 'East Facing']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Central mumbai's most popular society near diamond garden in chembur east offers 3 bhk apartment. The flat is semi furnished with fall ceiling, wardrobes, special kitchen counters Society provides 1 parking with this flat. The building has a total of 16 floors and this property is situated on 10th floor. Gated complex with pool, gym, garden, kids play area."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Diamond Garden
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-vaibhavlaxmi-address-51-bandra-east-western-mumbai-950-sq-ft-spid-O80404055                                 ,   2 ,    75000.0 ,"Bandra East, Mumbai"                                          ,"['Full Power Backup', 'Gated Society']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"A 2 bhk flat for rent in bandra east close to all basic civic amenities is available for just 75,000 in vaibhavlaxmi address 51, western mumbai. This 2 bhk flat comes with 2 bathrooms set in 800 sq.Ft. Super built-Up usable area. The flat consists of 2 bedrooms, built on 950 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 23 floors and this property is situated."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Vaibhavlaxmi Address 51
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-godrej-platinum-pirojshanagar-central-mumbai-suburbs-933-sq-ft-spid-I80530103                               ,   2 ,   110000.0 ,"Pirojshanagar, Vikhroli East"                                 ,"['Close to Airport', 'Air Conditioned']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Godrej platinum is one of central mumbai's most sought after destination for residential flats and this 2 bhk flat for rent in pirojshanagar, is your opportunity to be a part of this community. This property offers access to nearby landmarks and is close to railway station, close to airport, close to highway and close to mall. This 2 bhk flat comes with 2 bathrooms set in 933 sq.Ft. Carpet usable area."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Godrej Platinum
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-hiranandani-castle-rock-hiranandani-gardens-powai-central-mumbai-suburbs-1050-sq-ft-spid-U78397321          ,   2 ,   100000.0 ,"Hiranandani Gardens Powai, Mumbai"                            ,"['North-East Facing', 'Private Garden']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Hiranandani castle rock is one of central mumbai's most sought after destination for residential flats and this 2 bhk flat for rent in hiranandani gardens powai with 1000 sq.Ft., is your opportunity to be a part of this community. This flat consists of 2 bathrooms build in 1000 sq.Ft. Super built-Up area."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Hiranandani Castle Rock
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-lodha-new-cuffe-parade-wadala-south-mumbai-1319-sq-ft-r1-spid-D77155607                                     ,   3 ,   175000.0 ,"Wadala, Mumbai"                                               ,"['East Facing', 'Private Garden']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"This 3 bhk flat in wadala is available in lodha new cuffe parade for rent, one of the most prominent projects for residential flats in mumbai south. The flat is close to metro station, close to hospital and close to railway station. This flat consists of 3 bathrooms & more than 3 balconies build in 1319 sq.Ft. Carpet area."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Lodha New Cuffe Parade
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-rustomjee-crown-prabhadevi-south-mumbai-2800-sq-ft-r3-spid-T75268239                                        ,   4 ,   550000.0 ,"Prabhadevi, Mumbai"                                           ,"['Full Power Backup', 'Fresh Construction']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"A palatial open podium spread across 2.52 acres designed by hafeez contractor and brought to life by l&t. This 4 bhk flat for rent in prabhadevi is available for just 5.5 lac in rustomjee crown, south mumbai. This property is constructed on 2800 sq.Ft. Area with 4 bathrooms attached."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Rustomjee Crown
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-hiranandani-princeton-chs-hiranandani-gardens-powai-central-mumbai-suburbs-700-sq-ft-spid-E80662607         ,   2 ,    65000.0 ,"Hiranandani Gardens Powai, Mumbai"                            ,"['Full Power Backup', 'Close to School']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Situated in hiranandani gardens powai central mumbai, hiranandani princeton chs is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. The flat is close to hospital, close to mall and close to school."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Hiranandani Princeton CHS
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-rent-in-lodha-the-park-worli-south-mumbai-1750-sq-ft-r1-spid-N77888569                                              ,   4 ,   375000.0 ,"Worli, Mumbai"                                                ,"['North-East Facing', 'Full Power Backup']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"We have many other units for lease & sale in the same premises. Kindly contact for more details. Lodha the park is one of mumbai south's most sought after destination for residential flats and this 4 bhk flat for rent in worli with 1600 sq.Ft., is your opportunity to be a part of this community."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Lodha The Park
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-kalina-western-mumbai-980-sq-ft-spid-E79657615                                                              ,   2 ,    85000.0 ,"Kalina, Santacruz East"                                       ,['Full Power Backup']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,Explore this amicable on request of kalina in western mumbai! Live in a 2 bhk flat for rent in kalina spread over 816 sq.Ft. This 2 bhk flat comes with 2 bathrooms set in 816 sq.Ft. Super built-Up usable area. This property is constructed on 980 sq.Ft. You also get 1 covered parking inside the premises located on 4th of 8 floor. This is a ready to move property and it is 10+ years old flat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"2 BHK Flat for rent in Kalina, Santacruz East"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-kalina-western-mumbai-1382-sq-ft-spid-Y79657921                                                             ,   3 ,    98500.0 ,"Kalina, Santacruz East"                                       ,"['Top Floor', 'Full Power Backup']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"This 3 bhk flat in kalina is available in on request for rent, one of the most prominent projects for residential flats in western mumbai. This 3 bhk flat comes with 3 bathrooms set in 1152 sq.Ft. Super built-Up usable area. The flat is built on 1382 sq.Ft. area. Ease of access to 1 covered parking within society. This flat is situated at top in a tower with 11 floors. This is a 1-5 years old s..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"3 BHK Flat for rent in Kalina, Santacruz East"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-vidya-nagari-western-mumbai-1200-sq-ft-spid-F80282469                                                       ,   3 ,   120000.0 ,"Vidya Nagari, Santacruz East"                                 ,['Full Power Backup']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Manoj apartment is the most preferred destination for renting flats in vidya nagari, western mumbai. A 3 bhk flat is now available for rent here. Don't miss to be a part of this community. Property has attached 3 bathrooms with 3 rooms set in 1200 sq.Ft. Carpet area. This flat is constructed on 1200 sq.Ft. area. This flat lies on the 3rd floor of a 13 storey building. Well maintained 10+ years ..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"3 BHK Flat for rent in Vidya Nagari, Santacruz East"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-rent-in-vidya-nagari-western-mumbai-720-sq-ft-spid-F80288375                                                        ,   2 ,    70000.0 ,"Vidya Nagari, Santacruz East"                                 ,['East Facing']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"A 2 bhk flat for rent in vidya nagari close to all basic civic amenities is available for just 70,000 in osiya sugan, western mumbai. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 720 sq.Ft. Carpet area. The flat consists of 2 bedrooms, built on 720 sq.Ft. & the option for 1 open parking is also available. The building has a total of 7 floors and this property is situated ..."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"2 BHK Flat for rent in Vidya Nagari, Santacruz East"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-dheeraj-insignia-kalina-western-mumbai-1200-sq-ft-spid-M80412771                                            ,   3 ,   160000.0 ,"Kalina, Santacruz East"                                       ,['Full Power Backup']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"This lovely 3 bhk flat for rent in kalina is available in one of western mumbai's most popular projects, dheeraj insignia. This flat consists of 3 bathrooms in 1200 sq.Ft. Super built-Up area. The flat consists of 3 bedrooms, built on 1200 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of 16 floors and this property is situated on 7th floor. This is a ready to move property and it is 1-5 years old flat."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"3 BHK Flat for rent in Kalina, Santacruz East"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-rent-in-regency-heights-brahmand-mumbai-thane-1200-sq-ft-spid-H80609047                                             ,   3 ,    40000.0 ,"Brahmand, Thane West"                                         ,"['North Facing', 'Full Power Backup']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"This 3 bhk flat in brahmand is available in regency heights for rent, one of the most prominent projects for residential flats in thane. Property has attached 3 bathrooms & 1 balcony with 3 rooms set in 1200 sq.Ft. Carpet area. Flat is constructed on 1200 sq.Ft. 1 covered parking available. Placed on 1st of 20 floor. It is an unfurnished property. Ready to occupy from fri, 28 feb 2025."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Regency Heights
